%% LaTeX2e file `data.dat'
%% generated by the `filecontents' environment
%% from source `Lab0Report' on 2023/09/10.
%%
Time  2.5MHz  5MHz  10MHz  15MHz
29AUG23-1300  0  0  1  2
29AUG23-1400  0  0  1  2
29AUG23-1500  0  0  1  1
29AUG23-1600  0  0  1  1
29AUG23-1700  0  0  1  2
29AUG23-1800  0  0  1  1
29AUG23-1900  0  0  2  3
29AUG23-2000  0  0  2  3
29AUG23-2100  0  2  2  3
01SEP2023-0500  1  3  2  2
01SEP2023-0600  1  2  2  1
01SEP2023-0700  0  2  1  2
